codEstacao;municipio;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 05:10:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 05:20:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 05:30:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 05:40:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 05:50:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 06:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 07:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 08:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 09:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 10:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 10:10:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 10:20:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 10:30:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 10:40:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 10:50:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 11:00:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 11:10:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 12:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 13:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 14:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 15:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 16:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 17:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 18:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 19:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 20:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 21:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 22:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-03 23:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 00:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 01:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 02:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 03:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 04:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 05:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 06:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 07:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 08:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 09:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 10:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 10:10:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 10:20:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 10:30:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 10:40:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 10:50:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 11:00:00.0;0.20;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 11:10:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 12:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 13:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 14:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 15:00:00.0;0.00;
310900602A;BRUMADINHO;MG;Progresso;-44.216;-20.146;2015-06-04 16:00:00.0;0.00;
