municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 06:10:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 06:20:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 06:30:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 06:40:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 06:50:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 07:00:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 07:10:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 07:20:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 07:30:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 07:40:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 07:50:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 08:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 08:10:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 08:20:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 08:30:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 08:40:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 08:50:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 09:00:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 09:10:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 09:20:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 09:30:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 09:40:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 09:50:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 10:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 10:10:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 10:20:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 10:30:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 11:00:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 11:10:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 11:20:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 11:30:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 11:40:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 11:50:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 12:00:00.0;0,20;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 12:10:00.0;0,00;
BRUMADINHO;310900601A;MG;Centro;-44,2;-20,143;2016-06-03 13:00:00.0;0,00;
